state,fips_code,county,county seat,latitude,longitude,longitude_abs,population,land area,water area,total area
Arizona,4013,Maricopa,Phoenix,+33.346541°,–112.495534°,112.495534°,"3,817,117","23,828.26",62.796,"23,891.06"
Arizona,4015,Mohave,Kingman,+35.717705°,–113.749689°,113.749689°,"200,186","34,475.55",387.371,"34,862.92"
Arizona,4017,Navajo,Holbrook,+35.390934°,–110.320908°,110.320908°,"107,449","25,771.47",24.078,"25,795.55"
Arizona,4019,Pima,Tucson,+32.128237°,–111.783018°,111.783018°,"980,263","23,794.31",5.338,"23,799.65"
Arizona,4021,Pinal,Florence,+32.918910°,–111.367257°,111.367257°,"375,770","13,896.87",22.332,"13,919.20"
Arizona,4023,Santa Cruz,Nogales,+31.525904°,–110.845190°,110.845190°,"47,420","3,203.60",3.088,"3,206.69"
Arizona,4025,Yavapai,Prescott,+34.630044°,–112.573745°,112.573745°,"211,033","21,039.77",11.502,"21,051.27"
Arizona,4027,Yuma,Yuma,+32.773942°,–113.910905°,113.910905°,"195,751","14,281.17",13.254,"14,294.43"
Arkansas,5001,Arkansas,"De Witt, Stuttgart",+34.289574°,–91.376547°,91.376547°,"19,019","2,560.90",116.496,"2,677.40"
Arkansas,5003,Ashley,Hamburg,+33.190835°,–91.772267°,91.772267°,"21,853","2,396.64",39.311,"2,435.95"
Arkansas,5005,Baxter,Mountain Home,+36.280710°,–92.330438°,92.330438°,"41,513","1,435.59",83.997,"1,519.59"
Arkansas,5007,Benton,Bentonville,+36.337825°,–94.256187°,94.256187°,"221,339","2,194.65",94.662,"2,289.31"
Arkansas,5009,Boone,Harrison,+36.304308°,–93.079204°,93.079204°,"36,903","1,528.69",30.044,"1,558.74"
Arkansas,5011,Bradley,Warren,+33.463819°,–92.168164°,92.168164°,"11,508","1,681.50",9.547,"1,691.05"
Arkansas,5013,Calhoun,Hampton,+33.560460°,–92.513879°,92.513879°,"5,368","1,628.02",9.926,"1,637.94"
Arkansas,5015,Carroll,"Berryville, Eureka Springs",+36.337774°,–93.541663°,93.541663°,"27,446","1,631.92",22.566,"1,654.48"
Arkansas,5017,Chicot,Lake Village,+33.267139°,–91.297158°,91.297158°,"11,800","1,668.74",120.392,"1,789.13"
Arkansas,5019,Clark,Arkadelphia,+34.053312°,–93.176205°,93.176205°,"22,995","2,243.12",43.396,"2,286.52"
Arkansas,5021,Clay,"Piggott, Corning",+36.367302°,–90.418704°,90.418704°,"16,083","1,656.21",5.106,"1,661.31"
Arkansas,5023,Cleburne,Heber Springs,+35.566288°,–92.059974°,92.059974°,"25,970","1,434.06",99.015,"1,533.07"
Arkansas,5025,Cleveland,Rison,+33.893201°,–92.188714°,92.188714°,"8,689","1,548.25",2.5,"1,550.75"
Arkansas,5027,Columbia,Magnolia,+33.215070°,–93.226901°,93.226901°,"24,552","1,984.07",1.814,"1,985.88"
Arkansas,5029,Conway,Morrilton,+35.265702°,–92.689248°,92.689248°,"21,273","1,430.32",37.343,"1,467.66"
Arkansas,5031,Craighead,"Lake City, Jonesboro",+35.828268°,–90.630411°,90.630411°,"96,443","1,831.66",14.162,"1,845.82"
Arkansas,5033,Crawford,Van Buren,+35.583041°,–94.236224°,94.236224°,"61,948","1,536.11",28.874,"1,564.98"
Arkansas,5035,Crittenden,Marion,+35.211878°,–90.315331°,90.315331°,"50,902","1,579.27",68.939,"1,648.21"
Arkansas,5037,Cross,Wynne,+35.291259°,–90.773894°,90.773894°,"17,870","1,596.42",15.349,"1,611.77"
Arkansas,5039,Dallas,Fordyce,+33.967823°,–92.653999°,92.653999°,"8,116","1,728.52",1.864,"1,730.39"
Arkansas,5041,Desha,Arkansas City,+33.828748°,–91.244427°,91.244427°,"13,008","1,989.50",133.058,"2,122.56"
Arkansas,5043,Drew,Monticello,+33.587242°,–91.722778°,91.722778°,"18,509","2,145.43",18.921,"2,164.35"
Arkansas,5045,Faulkner,Conway,+35.146356°,–92.324654°,92.324654°,"113,237","1,678.01",41.927,"1,719.94"
Arkansas,5047,Franklin,"Charleston, Ozark",+35.508573°,–93.887672°,93.887672°,"18,125","1,576.93",27.934,"1,604.87"
Arkansas,5049,Fulton,Salem,+36.383443°,–91.819239°,91.819239°,"12,245","1,601.11",5.527,"1,606.64"
Arkansas,5051,Garland,Hot Springs,+34.578861°,–93.146915°,93.146915°,"96,024","1,755.45",147.214,"1,902.66"
Arkansas,5053,Grant,Sheridan,+34.288063°,–92.423984°,92.423984°,"17,853","1,636.38",2.904,"1,639.28"
Arkansas,5055,Greene,Paragould,+36.119922°,–90.565241°,90.565241°,"42,090","1,496.23",4.827,"1,501.06"
Arkansas,5057,Hempstead,Hope,+33.728611°,–93.665809°,93.665809°,"22,609","1,884.27",35.372,"1,919.64"
Arkansas,5059,Hot Spring,Malvern,+34.315177°,–92.944147°,92.944147°,"32,923","1,593.37",18.053,"1,611.42"
Arkansas,5061,Howard,Nashville,+34.083179°,–93.990988°,93.990988°,"13,789","1,524.35",17.509,"1,541.86"
Arkansas,5063,Independence,Batesville,+35.737499°,–91.559942°,91.559942°,"36,647","1,978.63",19.594,"1,998.22"
Arkansas,5065,Izard,Melbourne,+36.094879°,–91.913625°,91.913625°,"13,696","1,503.69",8.913,"1,512.60"
Arkansas,5067,Jackson,Newport,+35.596605°,–91.223178°,91.223178°,"17,997","1,641.89",19.588,"1,661.48"
Arkansas,5069,Jefferson,Pine Bluff,+34.277696°,–91.930701°,91.930701°,"77,435","2,255.22",111.448,"2,366.67"
Arkansas,5071,Johnson,Clarksville,+35.573359°,–93.466322°,93.466322°,"25,540","1,708.88",59.416,"1,768.30"
Arkansas,5073,Lafayette,Lewisville,+33.240660°,–93.611643°,93.611643°,"7,645","1,368.21",43.539,"1,411.75"
Arkansas,5075,Lawrence,Walnut Ridge,+36.041098°,–91.101153°,91.101153°,"17,415","1,521.91",12.245,"1,534.16"
Arkansas,5077,Lee,Marianna,+34.779750°,–90.779288°,90.779288°,"10,424","1,560.78",43.722,"1,604.50"
Arkansas,5079,Lincoln,Star City,+33.957665°,–91.727624°,91.727624°,"14,134","1,454.32",27.631,"1,481.95"
Arkansas,5081,Little River,Ashdown,+33.699497°,–94.229774°,94.229774°,"13,171","1,378.53",84.208,"1,462.74"
Arkansas,5083,Logan,"Booneville, Paris",+35.218550°,–93.720563°,93.720563°,"22,353","1,834.03",60.696,"1,894.73"
Arkansas,5085,Lonoke,Lonoke,+34.755114°,–91.894132°,91.894132°,"68,356","1,996.18",83.17,"2,079.35"
Arkansas,5087,Madison,Huntsville,+36.012545°,–93.724053°,93.724053°,"15,717","2,160.71",7.316,"2,168.03"
Arkansas,5089,Marion,Yellville,+36.266656°,–92.678588°,92.678588°,"16,653","1,546.25",112.175,"1,658.42"
Arkansas,5091,Miller,Texarkana,+33.305505°,–93.901509°,93.901509°,"43,462","1,620.24",31.264,"1,651.50"
Arkansas,5093,Mississippi,"Blytheville, Osceola",+35.766943°,–90.052209°,90.052209°,"46,480","2,332.48",49.826,"2,382.30"
Arkansas,5095,Monroe,Clarendon,+34.679513°,–91.203314°,91.203314°,"8,149","1,572.44",36.715,"1,609.15"
Arkansas,5097,Montgomery,Mount Ida,+34.545652°,–93.664147°,93.664147°,"9,487","2,019.88",52.86,"2,072.74"
Arkansas,5099,Nevada,Prescott,+33.666699°,–93.305072°,93.305072°,"8,997","1,600.19",7.258,"1,607.45"
Arkansas,5101,Newton,Jasper,+35.910063°,–93.215084°,93.215084°,"8,330","2,126.11",5.932,"2,132.04"
Arkansas,5103,Ouachita,Camden,+33.591158°,–92.878418°,92.878418°,"26,120","1,897.90",18.05,"1,915.95"
Arkansas,5105,Perry,Perryville,+34.946363°,–92.926877°,92.926877°,"10,445","1,428.13",23.649,"1,451.78"
Arkansas,5107,Phillips,Helena-West Helena,+34.425842°,–90.848386°,90.848386°,"21,757","1,801.76",82.056,"1,883.81"
Arkansas,5109,Pike,Murfreesboro,+34.158191°,–93.658659°,93.658659°,"11,291","1,555.59",34.996,"1,590.59"
Arkansas,5111,Poinsett,Harrisburg,+35.568981°,–90.680595°,90.680595°,"24,583","1,964.22",13.523,"1,977.74"
Arkansas,5113,Polk,Mena,+34.490915°,–94.230884°,94.230884°,"20,662","2,221.38",12.387,"2,233.77"
Arkansas,5115,Pope,Russellville,+35.455297°,–93.031535°,93.031535°,"61,754","2,104.49",47.207,"2,151.70"
Arkansas,5117,Prairie,"Des Arc, De Valls Bluff",+34.828225°,–91.557200°,91.557200°,"8,715","1,678.20",71.629,"1,749.83"
Arkansas,5119,Pulaski,Little Rock,+34.773988°,–92.316515°,92.316515°,"382,748","1,967.78",124.062,"2,091.84"
Arkansas,5121,Randolph,Pocahontas,+36.341299°,–91.028441°,91.028441°,"17,969","1,689.17",9.968,"1,699.13"
Arkansas,5123,St. Francis,Forrest City,+35.014438°,–90.742199°,90.742199°,"28,258","1,644.05",20.05,"1,664.10"
Arkansas,5125,Saline,Benton,+34.648525°,–92.674463°,92.674463°,"107,118","1,874.13",17.836,"1,891.96"
Arkansas,5127,Scott,Waldron,+34.858869°,–94.063641°,94.063641°,"11,233","2,311.10",14.901,"2,326.00"
Arkansas,5129,Searcy,Marshall,+35.909660°,–92.699351°,92.699351°,"8,195","1,725.18",6.257,"1,731.43"
Arkansas,5131,Sebastian,"Greenwood, Fort Smith",+35.196981°,–94.274989°,94.274989°,"125,744","1,377.64",36.906,"1,414.55"
Arkansas,5133,Sevier,De Queen,+33.994608°,–94.243290°,94.243290°,"17,058","1,463.67",41.831,"1,505.50"
Arkansas,5135,Sharp,Ash Flat,+36.173399°,–91.471069°,91.471069°,"17,264","1,565.49",5.173,"1,570.66"
Arkansas,5137,Stone,Mountain View,+35.856989°,–92.140494°,92.140494°,"12,394","1,570.58",7.839,"1,578.42"
Arkansas,5139,Union,El Dorado,+33.168219°,–92.598145°,92.598145°,"41,639","2,691.55",41.402,"2,732.95"
Arkansas,5141,Van Buren,Clinton,+35.582959°,–92.515977°,92.515977°,"17,295","1,834.08",41.806,"1,875.89"
Arkansas,5143,Washington,Fayetteville,+35.971209°,–94.218417°,94.218417°,"203,065","2,439.68",27.047,"2,466.73"
Arkansas,5145,White,Searcy,+35.254722°,–91.753158°,91.753158°,"77,076","2,680.83",18.311,"2,699.14"
Arkansas,5147,Woodruff,Augusta,+35.189071°,–91.244418°,91.244418°,"7,260","1,519.78",18.708,"1,538.49"
Arkansas,5149,Yell,"Dardanelle, Danville",+34.997713°,–93.408303°,93.408303°,"22,185","2,408.65",48.88,"2,457.53"
California,6001,Alameda,Oakland,+37.648081°,–121.913304°,121.913304°,"1,510,271","1,914.05",213.185,"2,127.23"
California,6003,Alpine,Markleeville,+38.617610°,–119.798999°,119.798999°,"1,175","1,912.27",12.557,"1,924.83"
California,6005,Amador,Jackson,+38.443550°,–120.653856°,120.653856°,"38,091","1,539.96",29.457,"1,569.42"
California,6007,Butte,Oroville,+39.665959°,–121.601919°,121.601919°,"220,000","4,238.42",105.326,"4,343.75"
California,6009,Calaveras,San Andreas,+38.187844°,–120.555115°,120.555115°,"45,578","2,641.82",43.81,"2,685.63"
California,6011,Colusa,Colusa,+39.177739°,–122.237563°,122.237563°,"21,419","2,980.38",14.581,"2,994.96"
California,6013,Contra Costa,Martinez,+37.919479°,–121.951543°,121.951543°,"1,049,025","1,854.27",227.485,"2,081.75"
California,6015,Del Norte,Crescent City,+41.749903°,–123.980998°,123.980998°,"28,610","2,606.49",578.526,"3,185.02"
California,6017,El Dorado,Placerville,+38.785532°,–120.534398°,120.534398°,"181,058","4,423.40",203.243,"4,626.64"
California,6019,Fresno,Fresno,+36.761006°,–119.655019°,119.655019°,"930,450","15,431.13",137.816,"15,568.94"
California,6021,Glenn,Willows,+39.602546°,–122.401700°,122.401700°,"28,122","3,403.11",33.75,"3,436.86"
California,6023,Humboldt,Eureka,+40.706673°,–123.925818°,123.925818°,"134,623","9,241.05","1,254.26","10,495.30"
California,6025,Imperial,El Centro,+33.040816°,–115.355395°,115.355395°,"174,528","10,817.35",790.248,"11,607.60"
California,6027,Inyo,Independence,+36.561977°,–117.403927°,117.403927°,"18,546","26,368.35",119.208,"26,487.56"
California,6029,Kern,Bakersfield,+35.346629°,–118.729506°,118.729506°,"839,631","21,061.57",79.577,"21,141.14"
California,6031,Kings,Hanford,+36.072478°,–119.815530°,119.815530°,"152,982","3,598.58",5.469,"3,604.05"
California,6033,Lake,Lakeport,+39.094802°,–122.746757°,122.746757°,"64,665","3,254.23",188.962,"3,443.19"
California,6035,Lassen,Susanville,+40.721089°,–120.629931°,120.629931°,"34,895","11,761.61",463.441,"12,225.05"
California,6037,Los Angeles,Los Angeles,+34.196398°,–118.261862°,118.261862°,"9,818,605","10,509.87","1,795.01","12,304.88"
California,6039,Madera,Madera,+37.210039°,–119.749852°,119.749852°,"150,865","5,534.98",41.958,"5,576.94"
California,6041,Marin,San Rafael,+38.051817°,–122.745974°,122.745974°,"252,409","1,347.59",797.42,"2,145.01"
California,6043,Mariposa,Mariposa,+37.570034°,–119.912860°,119.912860°,"18,251","3,752.42",36.271,"3,788.69"
California,6045,Mendocino,Ukiah,+39.432388°,–123.442881°,123.442881°,"87,841","9,081.39",962.953,"10,044.34"
California,6047,Merced,Merced,+37.194806°,–120.722802°,120.722802°,"255,793","5,011.56",112.76,"5,124.32"
California,6049,Modoc,Alturas,+41.592919°,–120.718370°,120.718370°,"9,686","10,146.98",739.774,"10,886.75"
California,6051,Mono,Bridgeport,+37.915836°,–118.875167°,118.875167°,"14,202","7,896.83",214.695,"8,111.52"
California,6053,Monterey,Salinas,+36.240107°,–121.315573°,121.315573°,"415,057","8,496.70","1,270.71","9,767.42"
California,6055,Napa,Napa,+38.507351°,–122.325995°,122.325995°,"136,484","1,938.25",104.169,"2,042.42"
California,6057,Nevada,Nevada City,+39.295191°,–120.773446°,120.773446°,"98,764","2,480.62",41.515,"2,522.13"
California,6059,Orange,Santa Ana,+33.675687°,–117.777207°,117.777207°,"3,010,232","2,047.56",407.917,"2,455.48"
California,6061,Placer,Auburn,+39.062032°,–120.722718°,120.722718°,"348,432","3,644.14",247.205,"3,891.34"
California,6063,Plumas,Quincy,+39.995170°,–120.829516°,120.829516°,"20,007","6,612.35",156.395,"6,768.75"
California,6065,Riverside,Riverside,+33.729828°,–116.002239°,116.002239°,"2,189,641","18,664.70",251.073,"18,915.77"
California,6067,Sacramento,Sacramento,+38.450011°,–121.340441°,121.340441°,"1,418,788","2,498.42",76.077,"2,574.49"
California,6069,San Benito,Hollister,+36.610702°,–121.085296°,121.085296°,"55,269","3,596.74",4.555,"3,601.30"
California,6071,San Bernardino,San Bernardino,+34.857220°,–116.181197°,116.181197°,"2,035,210","51,947.23",124.028,"52,071.26"
California,6073,San Diego,San Diego,+33.023604°,–116.776117°,116.776117°,"3,095,313","10,895.12",826.348,"11,721.47"
California,6075,San Francisco,San Francisco,+37.727239°,–123.032229°,123.032229°,"805,235",121.4,479.19,600.59
